Host	Total Drop
p19	294
p35	237
w90	258
p0	236
c60	225
t124	185
c61	200
w99	293
p8	239
w83	323
c78	178
c44	176
c64	199
c62	167
w91	201
w114	240
c57	190
p38	271
c73	165
c72	167
w101	295
p13	355
t120	763
p16	243
c48	180
w108	306
c67	164
w82	213
c59	206
w98	311
p22	312
w119	248
c41	180
w95	288
t122	208
p31	234
p24	242
p15	276
c65	214
w85	268
c71	146
p4	254
w111	227
c51	168
p39	242
w86	238
w107	237
p11	281
w109	269
p21	361
p37	318
c68	167
c52	200
w92	279
c74	176
p20	281
p7	242
c66	188
w84	206
c79	197
c69	193
c70	221
p17	200
w118	271
c58	286
t125	179
t121	834
c47	184
w104	259
w113	217
p34	257
w117	272
w81	257
c49	215
p23	237
p14	179
p32	311
p27	285
w80	207
p26	287
w116	200
p10	215
c43	195
p36	269
c53	199
p33	206
p29	254
w89	300
c56	203
t123	198
p30	289
p12	217
c75	217
c63	185
w115	323
w102	217
w106	215
p28	244
c50	199
c40	173
w87	298
w112	278
w100	262
w88	243
c46	219
p6	224
p1	343
w105	285
w96	259
p18	263
w93	275
w94	270
w103	224
p25	299
c54	202
p2	172
w97	246
p9	261
c77	237
w110	243
c55	215
c42	170
c76	184
p3	308
c45	207
p5	265

