p9	 Pesan terkirim 0/11
p12	 Pesan terkirim 0/9
p5	 Pesan terkirim 0/7
c47	 Pesan terkirim 3/16
c44	 Pesan terkirim 0/13
p36	 Pesan terkirim 0/10
t124	 Pesan terkirim 0/7
c61	 Pesan terkirim 1/7
w115	 Pesan terkirim 1/15
c55	 Pesan terkirim 0/10
p11	 Pesan terkirim 1/12
c45	 Pesan terkirim 3/9
p32	 Pesan terkirim 0/12
c52	 Pesan terkirim 1/15
c70	 Pesan terkirim 0/6
p39	 Pesan terkirim 2/13
w104	 Pesan terkirim 0/12
p28	 Pesan terkirim 0/6
p3	 Pesan terkirim 0/9
w110	 Pesan terkirim 1/15
p7	 Pesan terkirim 0/16
c73	 Pesan terkirim 1/8
w106	 Pesan terkirim 0/4
p21	 Pesan terkirim 0/11
w95	 Pesan terkirim 0/6
p15	 Pesan terkirim 0/18
p29	 Pesan terkirim 0/11
w109	 Pesan terkirim 1/16
c49	 Pesan terkirim 1/10
w88	 Pesan terkirim 0/13
w100	 Pesan terkirim 0/11
p2	 Pesan terkirim 1/10
w111	 Pesan terkirim 0/11
c42	 Pesan terkirim 1/13
p38	 Pesan terkirim 0/12
c72	 Pesan terkirim 0/17
c71	 Pesan terkirim 0/9
w81	 Pesan terkirim 1/10
c41	 Pesan terkirim 3/17
p22	 Pesan terkirim 1/10
c76	 Pesan terkirim 1/15
w91	 Pesan terkirim 2/16
w108	 Pesan terkirim 1/11
w92	 Pesan terkirim 2/22
c43	 Pesan terkirim 0/15
w93	 Pesan terkirim 1/6
p19	 Pesan terkirim 0/11
c64	 Pesan terkirim 0/6
c56	 Pesan terkirim 0/9
c51	 Pesan terkirim 0/11
c68	 Pesan terkirim 1/11
w82	 Pesan terkirim 0/14
w112	 Pesan terkirim 0/14
c46	 Pesan terkirim 1/23
p23	 Pesan terkirim 0/10
w118	 Pesan terkirim 2/10
w107	 Pesan terkirim 0/6
c53	 Pesan terkirim 0/12
c78	 Pesan terkirim 2/10
w105	 Pesan terkirim 1/8
c79	 Pesan terkirim 2/10
c67	 Pesan terkirim 1/9
p4	 Pesan terkirim 0/14
w85	 Pesan terkirim 3/17
p6	 Pesan terkirim 2/15
w86	 Pesan terkirim 0/9
w117	 Pesan terkirim 0/16
c65	 Pesan terkirim 0/15
w102	 Pesan terkirim 0/8
c48	 Pesan terkirim 0/9
p30	 Pesan terkirim 1/8
c66	 Pesan terkirim 0/12
c58	 Pesan terkirim 0/23
c62	 Pesan terkirim 0/7
p35	 Pesan terkirim 0/13
p8	 Pesan terkirim 0/10
w89	 Pesan terkirim 0/10
w101	 Pesan terkirim 0/11
w116	 Pesan terkirim 0/17
p1	 Pesan terkirim 0/10
w90	 Pesan terkirim 2/16
c50	 Pesan terkirim 0/5
p17	 Pesan terkirim 0/10
w114	 Pesan terkirim 0/20
p26	 Pesan terkirim 0/12
c75	 Pesan terkirim 0/9
p10	 Pesan terkirim 0/10
w103	 Pesan terkirim 0/8
w83	 Pesan terkirim 0/8
p37	 Pesan terkirim 0/16
p31	 Pesan terkirim 0/10
w98	 Pesan terkirim 0/6
w119	 Pesan terkirim 0/10
p13	 Pesan terkirim 0/15
c57	 Pesan terkirim 0/12
t123	 Pesan terkirim 3/15
w113	 Pesan terkirim 1/9
p16	 Pesan terkirim 2/16
t121	 Pesan terkirim 1/9
w80	 Pesan terkirim 1/6
w94	 Pesan terkirim 0/11
w84	 Pesan terkirim 0/10
t120	 Pesan terkirim 2/16
p25	 Pesan terkirim 0/11
w97	 Pesan terkirim 0/10
c40	 Pesan terkirim 0/9
p24	 Pesan terkirim 0/15
p27	 Pesan terkirim 1/10
p14	 Pesan terkirim 0/17
w96	 Pesan terkirim 1/13
c54	 Pesan terkirim 0/12
p0	 Pesan terkirim 0/9
p34	 Pesan terkirim 0/17
c69	 Pesan terkirim 0/12
t122	 Pesan terkirim 1/11
w87	 Pesan terkirim 1/16
c74	 Pesan terkirim 0/12
p18	 Pesan terkirim 1/9
w99	 Pesan terkirim 0/13
p33	 Pesan terkirim 1/11
c60	 Pesan terkirim 1/14
p20	 Pesan terkirim 0/7
c59	 Pesan terkirim 0/8
c63	 Pesan terkirim 3/18
c77	 Pesan terkirim 1/18
